player_name,events,description,b_arm,p_arm,bb_type,balls,strikes,outs_when_up,inning,hit_distance_sc,launch_speed,pitch_speed,spin_rate,pitch_name,win_exp,team
"Gil, Luis",ground_out,hit_into_play,L,R,ground_ball,1,2,2,2,0.0,55.5,94.0,1911.0,Changeup,0.625,Yankees
"Gil, Luis",double,hit_into_play,R,R,fly_ball,2,2,2,2,368.0,99.1,98.7,2549.0,4-Seam Fastball,0.649,Yankees
"Gil, Luis",strikeout_looking,called_strike,R,R,,1,2,1,2,0.0,,94.8,1798.0,Changeup,0.632,Yankees
"Gil, Luis",strikeout_swinging,foul_tip,L,R,,0,2,0,2,0.0,,96.6,2462.0,4-Seam Fastball,0.608,Yankees
"Gil, Luis",strikeout_looking,called_strike,R,R,,2,2,2,1,0.0,,97.9,2536.0,4-Seam Fastball,0.378,Yankees
"Gil, Luis",walk,ball,R,R,,3,1,2,1,0.0,,95.9,2527.0,4-Seam Fastball,0.391,Yankees
"Gil, Luis",double,hit_into_play,L,R,popup,0,0,2,1,169.0,62.2,97.9,2566.0,4-Seam Fastball,0.505,Yankees
"Gil, Luis",line_out,hit_into_play,R,R,line_drive,2,2,1,1,276.0,92.4,97.3,2514.0,4-Seam Fastball,0.46199999999999997,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,1,2,0,1,0.0,,92.9,1870.0,Changeup,0.41200000000000003,Yankees
"Gil, Luis",single,hit_into_play,L,R,fly_ball,0,0,0,1,239.0,69.0,91.3,1724.0,Changeup,0.46399999999999997,Yankees
"Gil, Luis",single,hit_into_play,R,R,line_drive,3,2,0,1,191.0,93.7,97.2,2493.0,4-Seam Fastball,0.5,Yankees
"Gil, Luis",ground_out,hit_into_play,R,R,ground_ball,3,2,2,6,10.0,27.3,90.4,2565.0,Slider,0.979,Yankees
"Gil, Luis",strikeout_looking,called_strike,R,R,,1,2,1,6,0.0,,98.5,2521.0,4-Seam Fastball,0.969,Yankees
"Gil, Luis",double,hit_into_play,L,R,ground_ball,3,2,1,6,114.0,103.1,97.7,2563.0,4-Seam Fastball,0.98,Yankees
"Gil, Luis",fly_out,hit_into_play,R,R,fly_ball,0,0,0,6,370.0,97.8,87.6,2532.0,Slider,0.973,Yankees
"Gil, Luis",ground_out,hit_into_play,R,R,ground_ball,0,2,2,5,36.0,86.5,99.9,2511.0,4-Seam Fastball,0.974,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,L,R,,2,2,1,5,0.0,,98.6,2569.0,4-Seam Fastball,0.969,Yankees
"Gil, Luis",ground_out,hit_into_play,R,R,ground_ball,2,1,0,5,14.0,92.0,86.7,2607.0,Slider,0.961,Yankees
"Gil, Luis",double_play,hit_into_play,R,R,line_drive,1,1,1,4,79.0,57.7,91.9,1924.0,Changeup,0.865,Yankees
"Gil, Luis",pop_out,hit_into_play,L,R,popup,3,2,0,4,93.0,83.6,97.6,2544.0,4-Seam Fastball,0.835,Yankees
"Gil, Luis",single,hit_into_play,R,R,fly_ball,1,1,0,4,193.0,66.0,98.1,2453.0,4-Seam Fastball,0.867,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,2,2,2,3,0.0,,93.8,1691.0,Changeup,0.727,Yankees
"Gil, Luis",ground_out,hit_into_play,L,R,ground_ball,3,2,1,3,12.0,106.0,98.0,2496.0,4-Seam Fastball,0.7090000000000001,Yankees
"Gil, Luis",ground_out,hit_into_play,R,R,ground_ball,1,0,0,3,17.0,109.6,89.7,1732.0,Changeup,0.683,Yankees
"Gil, Luis",ground_out,hit_into_play,R,R,ground_ball,1,0,2,2,8.0,46.1,91.6,1916.0,Changeup,0.569,Yankees
"Gil, Luis",pop_out,hit_into_play,L,R,popup,1,0,1,2,67.0,90.3,96.8,2470.0,4-Seam Fastball,0.52,Yankees
"Gil, Luis",walk,ball,R,R,,3,0,1,2,0.0,,95.2,2528.0,4-Seam Fastball,0.56,Yankees
"Gil, Luis",fly_out,hit_into_play,R,R,fly_ball,1,2,0,2,311.0,84.6,88.2,2540.0,Slider,0.522,Yankees
"Gil, Luis",single,hit_into_play,L,R,line_drive,0,1,0,2,186.0,84.2,96.9,2480.0,4-Seam Fastball,0.563,Yankees
"Gil, Luis",fly_out,hit_into_play,R,R,fly_ball,3,2,2,1,280.0,80.3,98.5,2562.0,4-Seam Fastball,0.571,Yankees
"Gil, Luis",walk,ball,R,R,,3,0,2,1,0.0,,96.1,2571.0,4-Seam Fastball,0.598,Yankees
"Gil, Luis",ground_out,hit_into_play,L,R,ground_ball,1,1,1,1,143.0,105.0,97.5,2500.0,4-Seam Fastball,0.581,Yankees
"Gil, Luis",ground_out,hit_into_play,R,R,ground_ball,1,1,0,1,15.0,87.9,87.6,2595.0,Slider,0.558,Yankees
